English Translation,Standard Bangla Lanuguage,Romanized Bangla,Chittagong Language,Romanized Chittagong Language,Sylhet Language,Romanized Sylhet Language
I will not go there,আমি ওদিকে যাব না,Ami odike jabo na,আমি ইক্কে নযাইয়ুম ,Ami ikke nozaiyum,আমি ওবায় যাইতাম না,Ami obay zaitam na
I will go there,আমি ওদিকে যাব,Ami odike jabo,আমি ইক্কে যাইয়ুম ,Ami ikke zaiyum,আমি ওবায় যাইমু,Ami obay zaimu
Say a poem,একটি কবিতা বল,Ekti kobita bolo,এক্কান সবক হইছ,Ekkan sobok hoiso,একটা কবিতা কও,Ekta kobita ko
I like pigeons,আমার কবুতর পছন্দ,Amar kobutor pochondo,আর হইতর গম লায়,Ar hoitor gom lay,মোর কবিতা পছন্দ ,Mor kobita posondo
My forehead is fine,আমার কপাল ভাল,Amar kopal bhalo,আর হোয়াল ভালা,Ar hoal vala,আমার কপাল ভাল,Amar kofal balo
Look at how he's squinting,সে কিভাবে ঝিমাচ্ছে দেখ,Se kibhabe jhimachhe dekho,তেঁই ক্যান গরি ঝুরার সা,Tei ken gori jhurar sa,হে কিলাখান ঝিমার দেখ,He kilaxan zimar deko
Look at how he's squinting,কি পেয়েছেন ,Ki peyechen,কি ফাইয়্যুন ,Ki faiyyun,কিতা পাইছো,Kita paiso
I will see you,আমি তোমাকে দেখে নেবো,Ami tomake dekhe nebo,আই তোঁয়ারে চাই লইওম,Ai toare sai loiom,আমি তোমারে দেখিয়া নিমু,Ami tomare dekiya nimu
You forgot,ভুলে গেছো,Bhule gecho,ফঅরি গেইয়্যু,Fori geiyyu,ভুলিয়া গেছো,Buliya geso
What curry,কি তরকারি,Ki torkari,কি সালন,Ki salon,কিতা তরকারি?,Kita torkari?
I can,আমি পারবো,Ami parbo,আই ফাইজ্জুম,Ai faijjum,আমি পারমু,Ami farmu
He ran away,সে পালিয়েছে,Se paliyeche,ইতে ধাইয়্যি,Ite dhaiyyi,হে পালাইছে ,He falaisse
He is very shy,সে অনেক ভীতু,Se onek bhitu,ইতে বউত ডরাল্লো,Ite bout dorallo,হে অনেক ডরালোক,He onek ḍoraluk
Take the curry,তরকারি নাও,Torkari nao,তরহারি লঅ,Torhari loo,তরকারি নাও,Torkari nao
Come closer,কাছে এসো,Kachhe esho,গা-উজু আইয়ো,Ga-uju aiyo,কান্দাত আও,Kandat ao
Sent you,আপনাকে পাঠিয়েছে,Apnake pathiyeche,অনরে ফাদইয়ে,Onore fadoiye,আফনারে পাঠাইছে?,Afnare faṭaisse?
Shimu likes pink color,শিমুর গোলাপি রং পছন্দ ,Shimur golapi rong pochondo,শিমুর গোলাপি রং পছন্দ ,Shimur gulapi rong pochondo,শিমুর গোলাপি রং পছন্দ ,Shimur gulafi rong posondo
Shimu likes blue color,শিমুর আকাশী রং পছন্দ ,Shimur akashi rong pochondo,শিমুর আকাশী রং পছন্দ ,Shimur akashi rong pochondo,শিমুর আকাশী রং পছন্দ ,Shimur akashi rong posondo
Shimu prefers gray color,শিমুর ধূসর রং পছন্দ ,Shimur dhusor rong pochondo,শিমুর ধূসর রং পছন্দ ,Shimur dhushor rong pochondo,শিমুর ধূসর রং পছন্দ ,Shimur dhushor rong posondo
Shimu prefers maroon color,শিমুর মেরুন রং পছন্দ ,Shimur merun rong pochondo,শিমুর মেরুন রং পছন্দ ,Shimur merun rong pochondo,শিমুর মেরুন রং পছন্দ ,Shimur merun rong posondo
Shimu likes orange color,শিমুর কমলা রং পছন্দ ,Shimur komola rong pochondo,শিমুর কমলা রং পছন্দ ,Shimur komola rong pochondo,শিমুর কমলা রং পছন্দ ,Shimur komola rong posondo
Shimu likes kheri colors,শিমুর খয়েরি রং পছন্দ ,Shimur khoyeri rong pochondo,শিমুর খয়েরি রং পছন্দ ,Shimur khoyeri rong pochondo,শিমুর খয়েরি রং পছন্দ ,Shimur khoyeri rong posondo
You go first,আপনারা আগে যান ,Apnara aage jaan,অনরা আগে জো,Onra age zo,আফনারা আগে জাউকা ,Afnara age zauka
Where are you from?,আপনি কোথায় থেকে এসেছেন?,Apni kothay theke eshechen?,অনে কত্তুন আইশ্যুন যে?,One kottun aisshun je?,আফনে কোন থাকি আইছইন ,Afne kun taki aisoiloin
Hold on,সামলে রেখো।,Shamle rekho.,সামালি রাইক্কু,Shamali raikku,সামলাইয়া রাখিও ,Shamlaiya rakio
What if I am right?,কি করবে আমি যদি ঠিক থাকি,Ki korbe ami jodi thik thaki,অ্যাঁই যদি ঠিক থাহি,Añi jodi thik thahi,কিতা করবায় আমি যদি ঠিক থাকি ,Kita korbay ami zodi ṭhik taki
Do you understand me?,আমার কথা বুঝিস তুই?,Amar kotha bujhis tui?,অ্যাঁর হথা বুঝস তুঁই?,Añr hotha bujhos tui?,আমার মাত বুঝরে তুই ,Amar mat buzre tui
What's behind me?,আমার পিছন কি?,Amar pichone ki?,অ্যাঁর ফন্দে কি?,Añr fonde ki?,আমার পিছনে কিতা,Amar fisone kita
We will see you,তোমাকে আমরা দেখে নেবো,Tomake amra dekhe nebo,তোঁয়ারে অ্যাঁরা চ্যাঁই লইইয়্যুম,Toare Añra chñai loiyyum,তোমারে আমরা দেখিয়া নিমু ,Tomare amra dekiya nimu
Where did you go when you left?,যাওয়ার সময় কোথায় গেছিস,Jawar shomoy kothay gechis,যনঅর সমত হডে গেইয়্যুস তুঁই,Zonor homot hode geiyus tui,যাওয়ার সময় কোনানো গেছলে ,Zawar shomoy kunano gesle
Keep your soul at home,প্রানটা ঘরে রেখে,Pran ta ghore rekhe,পরান্নান ঘরত রাহি,Porannan ghorot rahi,জানটা ঘরে রাইক্ষা,Zanṭa ghoro raikha
Put your hand on your head and say don't cheat on me,মাথায় হাত দিয়ে বলো আমাকে ধোঁকা দিবে না,Mathay haat diye bolo amake dhoka dibe na,মাতাত আঁত দি ক অ্যাঁরে দাগা ন দিতি,Matat añt di ko Añre daga no diti,মাহাত হাত দিয়া কও আমারে ধুকা দিতায় না,Mhatat hat diya kô amare dhuka ditay na
I have written your name,তোমার নাম লিখে দিয়েছি,Tomar naam likhe diyechi,তোয়ার নামত লেহি,Toyar namot lehi,তোমার নাম লেখিয়া দিলাইছি ,Tomar nam lekiya dilaisi
No and say yes., না ও বলিস হা বলিস।,Na o bolish ha bolish.,"না~ইউ হস, তর~ উ হস","Naiu hos, tor u hos","না ও কইস, হা ও কইস","Na o kois, ha o kois"
I know you came,আমি জানি তুমি এসেছো,Ami jani tumi eshecho,আঁই জানিদে তুঁই আইশ্যু,Añi janide tui aisshu,আমি জানি তুমি আইছো ,Ami zani tumi aiso
You come tomorrow,তুমি কাল এসো,Tumi kal esho,তুঁই হালিয়ে আইশ্যু,Tui halie aisshu,তুমি কালকে আইও ,Tumi kalke aiyo
I know you came,আমি জানি তুমি এসেছো,Ami jani tumi eshecho,আঁই জানিদে তুঁই আইশ্যু,Añi janide tui aisshu,আমি জানতাম তুমি আইবায়,Ami zantam tumi aibay
There is a city corporation office,সিটি কর্পোরেশন অফিস আছে,City Corporation office ache,সিটি কপোরেশন অপিশ আছে,City corporation opish ase,সিটি কপোরেশন অপিশ আছে,Ciṭi Koporéshon ofish ase
